sample,Silver,polymer conc,polymer type,NaBH4,wavelength,abs
1,0.4,0.01,1,3,427,0.6
2,1,0.01,1,3,438,1.39
3,1,0.05,1,5,433,1.01
4,0.4,0.1,1,3,426,0.68
5,0.8,0.05,1,3,429,0.96
6,0.2,0.005,1,1,428,0.44
7,0.8,0.1,1,3,428,0.82
8,0.6,0.1,1,4,428,0.67
9,0.4,0.05,1,2,428,0.63
10,0.4,0.05,2,5,428,0.6
11,0.2,0.1,2,2,435,0.31
12,0.8,0.001,2,2,435,1.23
13,1,0.001,2,1,446,1.15
14,1,0.05,2,4,433,1.16
15,0.4,0.005,2,3,426,0.66
16,0.8,0.05,2,5,428,0.84
17,0.6,0.001,2,3,428,0.81
18,0.4,0.001,2,1,436,0.84
19,0.8,0.1,2,2,428,0.82
20,1,0.1,3,1,437,1.27
21,0.6,0.1,3,3,425,0.7
22,0.2,0.05,3,1,435,0.4
23,0.2,0.05,3,4,435,0.35
24,0.8,0.01,3,2,431,1.02
25,0.8,0.001,3,1,444,1.44
26,0.6,0.05,3,2,429,0.79
27,0.4,0.1,3,1,427,0.66
28,0.2,0.01,3,1,426,0.4
29,0.8,0.1,3,1,423,1.2
30,0.6,0.1,3,2,429,0.82